"beta_h","kappa_h","kappa_1","year","total_hosp_incidence","total_bsi_hospitalisation","prevalence_col_comm","hosp_incidence_all_trust","bsi_hospitalised_all_trust","total_incidence_all_trust","prop_bsi_hospitalised_all_trust","colonisation_prevalence_comm_percent_all_trust","difference"
0.1142,0.00104,0.0000451,199,12.5444982831345,20.3194593127205,0.0154256184433105,1681,2723,4404,61.83,1.54,NA
0.1142,0.00104,0.0000451,200,12.5444982831345,20.3194593127205,0.0154256184433105,1681,2723,4404,61.83,1.54,0
0.1142,0.00104,0.0000452,199,12.5521792474638,20.3764522868119,0.01543466174576,1682,2730,4412,61.88,1.54,NA
0.1142,0.00104,0.0000452,200,12.5521792474638,20.3764522868119,0.01543466174576,1682,2730,4412,61.88,1.54,0
0.1142,0.00104,0.0000455,199,12.5752119665367,20.5477279096845,0.015461776410306,1685,2753,4438,62.03,1.55,NA
0.1142,0.00104,0.0000455,200,12.5752119665367,20.547727909784,0.015461776410306,1685,2753,4438,62.03,1.55,0.0000000000995896698441356
0.1142,0.00104,0.0000456,199,12.5828861499713,20.6049186138621,0.0154708095537789,1686,2761,4447,62.09,1.55,NA
0.1142,0.00104,0.0000456,200,12.5828861499713,20.6049186138534,0.0154708095537789,1686,2761,4447,62.09,1.55,-0.00000000000864019966684282
0.1142,0.00124,0.0000451,199,15.197959312236,20.6476808050638,0.0156747894192346,2037,2767,4804,57.6,1.57,NA
0.1142,0.00124,0.0000451,200,15.197959312236,20.6476808050638,0.0156747894192346,2037,2767,4804,57.6,1.57,0
0.1142,0.00124,0.0000452,199,15.2070571992158,20.7053120480214,0.0156837649315264,2038,2775,4813,57.66,1.57,NA
0.1142,0.00124,0.0000452,200,15.2070571992158,20.7053120480214,0.0156837649315264,2038,2775,4813,57.66,1.57,0
0.1142,0.00124,0.0000455,199,15.234338831051,20.8785002738387,0.0157106763548769,2041,2798,4839,57.82,1.57,NA
0.1142,0.00124,0.0000455,200,15.234338831051,20.8785002738387,0.0157106763548769,2041,2798,4839,57.82,1.57,0
0.1142,0.00124,0.0000456,199,15.2434287007304,20.9363277781586,0.0157196417943464,2043,2805,4848,57.86,1.57,NA
0.1142,0.00124,0.0000456,200,15.2434287007304,20.9363277781586,0.0157196417943464,2043,2805,4848,57.86,1.57,0
0.1142,0.00144,0.0000451,199,17.9266917152859,20.9730296743783,0.0159217796290532,2402,2810,5212,53.91,1.59,NA
0.1142,0.00144,0.0000451,200,17.9266917152859,20.9730296743783,0.0159217796290532,2402,2810,5212,53.91,1.59,0
0.1142,0.00144,0.0000452,199,17.9371877499398,21.0312936569835,0.0159306879875386,2404,2818,5222,53.96,1.59,NA
0.1142,0.00144,0.0000452,200,17.9371877499398,21.0312936569835,0.0159306879875386,2404,2818,5222,53.96,1.59,0
0.1142,0.00144,0.0000455,199,17.9686620021403,21.2063779177424,0.0159573980772274,2408,2842,5250,54.13,1.6,NA
0.1142,0.00144,0.0000455,200,17.9686620021403,21.2063779177424,0.0159573980772274,2408,2842,5250,54.13,1.6,0
0.1142,0.00144,0.0000456,199,17.9791488046658,21.264836706373,0.0159662964480294,2409,2849,5258,54.18,1.6,NA
