"beta_h","kappa_h","kappa_1","year","total_hosp_incidence","total_bsi_hospitalisation","prevalence_col_comm","hosp_incidence_all_trust","bsi_hospitalised_all_trust","total_incidence_all_trust","prop_bsi_hospitalised_all_trust","colonisation_prevalence_comm_percent_all_trust","difference"
0.0115183255167864,0.0248181359538647,8.20886494269141e-06,199,0,0,9.78398890161433e-91,0,0,0,NA,0,NA
0.0115183255167864,0.0248181359538647,8.20886494269141e-06,200,0,0,3.51179945428241e-91,0,0,0,NA,0,0
0.0190988416506629,0.0173794057886234,7.25993100058493e-05,199,0,0,3.52222249578324e-88,0,0,0,NA,0,NA
0.0190988416506629,0.0173794057886234,7.25993100058493e-05,200,0,0,1.3023315886048e-88,0,0,0,NA,0,0
0.0270480082214391,0.0468511197826547,9.57922852829644e-05,199,0,0,3.78869249568973e-84,0,0,0,NA,0,NA
0.0270480082214391,0.0468511197826547,9.57922852829644e-05,200,0,0,1.46804779172547e-84,0,0,0,NA,0,0
0.0378022792984918,0.0525629803255826,4.97673526664096e-05,199,0,0,4.75483835144196e-78,0,0,0,NA,0,NA
0.0378022792984918,0.0525629803255826,4.97673526664096e-05,200,0,0,1.97767770614505e-78,0,0,0,NA,0,0
0.0454896253937576,0.0343003017990322,8.21764946178935e-05,199,0,0,2.73486145890131e-73,0,0,0,NA,0,NA
0.0454896253937576,0.0343003017990322,8.21764946178935e-05,200,0,0,1.20216678978281e-73,0,0,0,NA,0,0
0.0546956692776643,0.0304391343564742,8.5146426162625e-05,199,0,0,1.40308240407392e-65,0,0,0,NA,0,NA
0.0546956692776643,0.0304391343564742,8.5146426162625e-05,200,0,0,6.74583386489079e-66,0,0,0,NA,0,0
0.0700082635422144,0.00897115735521052,2.42196497424431e-05,199,0,0,1.60066698923819e-61,0,0,0,NA,0,NA
0.0700082635422144,0.00897115735521052,2.42196497424431e-05,200,0,0,8.06661484452613e-62,0,0,0,NA,0,0
0.0794427131012734,0.0431429738878745,9.20271028126549e-05,199,20.8012756912849,1.6365753589447,0.000608871741967432,2787,219,3006,7.29,0.06,NA
0.0794427131012734,0.0431429738878745,9.20271028126549e-05,200,20.7905104504825,1.63571629851253,0.000608552173718721,2786,219,3005,7.29,0.06,-0.000859060432162551
0.0817163812422054,0.0144453342800242,0.000120106724438746,199,0,0,3.77727918997639e-31,0,0,0,NA,0,NA
0.0817163812422054,0.0144453342800242,0.000120106724438746,200,0,0,2.71304126659835e-31,0,0,0,NA,0,0
0.0909130995346746,0.0230651303934416,5.86752873697976e-05,199,37.0028745732598,3.50279318039657,0.00204393106967216,4958,469,5427,8.64,0.2,NA
0.0909130995346746,0.0230651303934416,5.86752873697976e-05,200,37.0028229341042,3.50278808832741,0.00204392809934388,4958,469,5427,8.64,0.2,-5.09206915921823e-06
0.108425703116744,0.0111371579921433,0.000114537948225902,199,195.796480125355,74.040525144228,0.022132326605447,26237,9921,36158,27.44,2.21,NA
0.108425703116744,0.0111371579921433,0.000114537948225902,200,195.796480125355,74.040525144228,0.022132326605447,26237,9921,36158,27.44,2.21,0
0.11517980585726,0.0199130411938516,4.56473953937117e-05,199,508.206513184632,43.7660967812735,0.0328268184662691,68100,5865,73965,7.93,3.28,NA
0.11517980585726,0.0199130411938516,4.56473953937117e-05,200,508.206513184632,43.7660967812735,0.0328268184662691,68100,5865,73965,7.93,3.28,0
0.125720504090451,0.00341566810557687,1.4088733106029e-05,199,85.0706387205355,13.2270949317854,0.0321439695255544,11399,1772,13171,13.45,3.21,NA
0.125720504090451,0.00341566810557687,1.4088733106029e-05,200,85.0706387205355,13.2270949317854,0.0321439695255544,11399,1772,13171,13.45,3.21,0
0.133992931890567,0.0382035245478358,1.8364102182811e-05,199,1586.22468577669,29.2012788551574,0.054442636680109,212554,3913,216467,1.81,5.44,NA
0.133992931890567,0.0382035245478358,1.8364102182811e-05,200,1586.22468577669,29.2012788551574,0.054442636680109,212554,3913,216467,1.81,5.44,0
0.144903208779842,0.0552213607536728,0.000104988847135348,199,2595.60207881877,187.192787778185,0.0610453972780109,347811,25084,372895,6.73,6.1,NA
0.144903208779842,0.0552213607536728,0.000104988847135348,200,2595.60207881877,187.192787778185,0.0610453972780109,347811,25084,372895,6.73,6.1,0
0.150585125285978,0.000482794964079408,0.000111755295483293,199,23.5245721599131,200.507940366442,0.0614285754364867,3152,26868,30020,89.5,6.14,NA
0.150585125285978,0.000482794964079408,0.000111755295483293,200,23.5245721599131,200.507940366442,0.0614285754364867,3152,26868,30020,89.5,6.14,0
0.160320807764726,0.0612392044503175,3.87740959207134e-05,199,3106.82596169529,76.275788845478,0.0673522341977839,416315,10221,426536,2.4,6.74,NA
0.160320807764726,0.0612392044503175,3.87740959207134e-05,200,3106.82596169529,76.275788845478,0.0673522341977839,416315,10221,426536,2.4,6.74,0
0.171911989741181,0.0437019780139724,6.69721319369619e-05,199,2477.79605845339,145.250526780765,0.074255832452598,332025,19464,351489,5.54,7.43,NA
0.171911989741181,0.0437019780139724,6.69721319369619e-05,200,2477.79605845339,145.250526780765,0.074255832452598,332025,19464,351489,5.54,7.43,0
0.177162324653626,0.0569796185146152,3.27460384349179e-05,199,3176.52454107127,70.9555794833977,0.0741881878836007,425654,9508,435162,2.18,7.42,NA
0.177162324653626,0.0569796185146152,3.27460384349179e-05,200,3176.52454107127,70.9555794833977,0.0741881878836007,425654,9508,435162,2.18,7.42,0
0.191356840746645,0.0314544202190542,6.20220326528021e-05,199,2026.73868901533,152.332838128787,0.0840919682020801,271583,20413,291996,6.99,8.41,NA
