"time","S_c1","C_c1","I_c1","VS_c1","VC_c1","S_h1","C_h1","I_h1","VS_h1","VC_h1","D_h1","CInc_1a","CInc_1b","CInc_1c","CInc_1d","col_adm","col_discharges","admissions","discharges","inc_bsi_hosp","inc_hosp_onset","total_cases"
0,78346.0636305563,1687.84038995554,0.0959794856917965,0,0,389.479149820396,45.1734609734183,1.34738920617366,0,0,2124.8800360448,356645.85925475,5597.78689436861,5596.73247445,4083.7837622193,0,0,0,0,0,0,0
1,78359.7605073662,1674.13136841818,0.108124213177628,0,0,389.632996627421,42.9271682687936,3.43983510377313,0,0,2124.93225420198,356650.977069534,5597.88138712882,5596.81480838304,4085.95085979619,1.90961592021266,6.67837754310178,65.9103464512165,65.7987269261729,0.0823339330399904,2.16709757689205,2.24943150993204
2,78373.5961943027,1660.29075813374,0.11304756107051,0,0,389.538032640496,41.1507098668185,5.31125749267338,0,0,2125.02729790943,356656.092410556,5597.97510523748,5596.9035879403,4088.01923646866,3.803576810967,13.0525253744744,131.562883541193,131.297090101366,0.0887795572634786,2.06837667247282,2.1571562297363
3,78387.5006711607,1646.38460729149,0.114721545323933,0,0,389.236783893894,39.7708869846855,6.99232912140847,0,0,2125.16072141214,356661.22728721,5598.0680432102,5596.9948363025,4090.01017634682,5.68177183790743,19.1880350597564,196.984374668217,196.526270529479,0.0912483621923457,1.99093987815968,2.08218824035202
4,78401.4169441786,1632.46811981499,0.114936003977225,0,0,388.76383830139,38.7254804958402,8.51068120275811,0,0,2125.32871123587,356666.399924042,5598.16019896089,5597.08676185227,4091.94163765494,7.5441588424209,25.140248731634,262.197776907094,261.513014613619,0.0919255497765334,1.93146130811238,2.02338685788891
5,78415.2982240431,1618.58728157172,0.114494382756315,0,0,388.147862532859,37.9617122221806,9.89042524494855,0,0,2125.52801378543,356671.625382377,5598.25157324063,5597.17856203246,4093.82875304028,9.39075300375153,30.9558008992472,327.222676866423,326.280141956609,0.0918001801828723,1.88711538534426,1.97891556552713
6,78429.1059725977,1604.7802670351,0.113760364745952,0,0,387.412890183526,37.4348461683993,11.1522636480624,0,0,2125.75585975912,356676.916055237,5598.34216915943,5597.2698763317,4095.68425994762,11.221617172331,36.6739447397201,392.0757457134,390.847075492855,0.0913142992458233,1.85550690733407,1.9468212065799
7,78442.8084685465,1591.07863294581,0.112898505261823,0,0,386.579202191953,37.1069741899075,12.3138236181278,0,0,2126.00989402384,356682.282071374,5598.43199178301,5597.3605452877,4097.51886471096,13.036853721513,42.3276741253451,456.771161324401,455.230333319714,0.0906689559969891,1.83460476334449,1.92527371934148
8,78456.3796761797,1577.50833980707,0.111984010755921,0,0,385.663985498102,36.9459681025097,13.3900463993759,0,0,2126.28811299921,356687.731637274,5598.52104778875,5597.45050038313,4099.34155364504,14.83659759578,47.9446823187959,521.320985232202,519.443967864182,0.0899550954363804,1.82268893407763,1.91264402951401
9,78469.7983365068,1564.0906120985,0.111051392283024,0,0,384.681842534448,36.9245952801378,14.3935621854025,0,0,2126.58881074066,356693.271325469,5598.60934517658,5597.53971511142,4101.15985479809,16.6210104666505,53.5481686207752,585.73548720514,583.499944037558,0.0892147282875158,1.81830115305638,1.9075158813439
