"","year","vacc_coverage","vacc_efficacy","total_cases"
"183",2,0.5,0.6,1820
"184",2,0.5,0.7,1685
"185",2,0.5,0.8,1552
"186",2,0.5,0.9,1420
"187",2,0.5,1,1290
"188",2,0.6,0,2668
"189",2,0.6,0.1,2493
"190",2,0.6,0.2,2321
"191",2,0.6,0.3,2152
"192",2,0.6,0.4,1986
"193",2,0.6,0.5,1822
"194",2,0.6,0.6,1660
"195",2,0.6,0.7,1502
"196",2,0.6,0.8,1345
"197",2,0.6,0.9,1192
"198",2,0.6,1,1041
"199",2,0.7,0,2668
"200",2,0.7,0.1,2464
"201",2,0.7,0.2,2265
"202",2,0.7,0.3,2069
"203",2,0.7,0.4,1877
"204",2,0.7,0.5,1688
"205",2,0.7,0.6,1503
"206",2,0.7,0.7,1322
"207",2,0.7,0.8,1144
"208",2,0.7,0.9,970
"209",2,0.7,1,800
"210",2,0.8,0,2668
"211",2,0.8,0.1,2436
"212",2,0.8,0.2,2209
"213",2,0.8,0.3,1987
"214",2,0.8,0.4,1770
"215",2,0.8,0.5,1557
"216",2,0.8,0.6,1350
"217",2,0.8,0.7,1147
"218",2,0.8,0.8,949
"219",2,0.8,0.9,756
"220",2,0.8,1,567
"221",2,0.9,0,2668
"222",2,0.9,0.1,2407
"223",2,0.9,0.2,2153
"224",2,0.9,0.3,1905
"225",2,0.9,0.4,1664
"226",2,0.9,0.5,1428
"227",2,0.9,0.6,1199
"228",2,0.9,0.7,976
"229",2,0.9,0.8,759
"230",2,0.9,0.9,548
"231",2,0.9,1,343
"232",2,1,0,2668
"233",2,1,0.1,2379
"234",2,1,0.2,2098
"235",2,1,0.3,1825
"236",2,1,0.4,1559
"237",2,1,0.5,1301
"238",2,1,0.6,1051
"239",2,1,0.7,809
"240",2,1,0.8,574
"241",2,1,0.9,347
"242",2,1,1,127
"243",3,0,0,2668
"244",3,0,0.1,2668
"245",3,0,0.2,2668
"246",3,0,0.3,2668
"247",3,0,0.4,2668
"248",3,0,0.5,2668
"249",3,0,0.6,2668
"250",3,0,0.7,2668
"251",3,0,0.8,2668
"252",3,0,0.9,2668
"253",3,0,1,2668
"254",3,0.1,0,2668
"255",3,0.1,0.1,2637
"256",3,0.1,0.2,2607
"257",3,0.1,0.3,2577
"258",3,0.1,0.4,2547
"259",3,0.1,0.5,2517
"260",3,0.1,0.6,2486
"261",3,0.1,0.7,2456
"262",3,0.1,0.8,2426
"263",3,0.1,0.9,2396
"264",3,0.1,1,2366
"265",3,0.2,0,2668
"266",3,0.2,0.1,2607
"267",3,0.2,0.2,2547
"268",3,0.2,0.3,2487
"269",3,0.2,0.4,2428
"270",3,0.2,0.5,2369
"271",3,0.2,0.6,2310
"272",3,0.2,0.7,2251
"273",3,0.2,0.8,2192
"274",3,0.2,0.9,2134
"275",3,0.2,1,2076
"276",3,0.3,0,2668
"277",3,0.3,0.1,2577
"278",3,0.3,0.2,2488
"279",3,0.3,0.3,2399
"280",3,0.3,0.4,2311
"281",3,0.3,0.5,2224
"282",3,0.3,0.6,2137
"283",3,0.3,0.7,2052
"284",3,0.3,0.8,1967
"285",3,0.3,0.9,1883
"286",3,0.3,1,1800
"287",3,0.4,0,2668
"288",3,0.4,0.1,2547
"289",3,0.4,0.2,2429
"290",3,0.4,0.3,2312
"291",3,0.4,0.4,2196
"292",3,0.4,0.5,2082
"293",3,0.4,0.6,1970
"294",3,0.4,0.7,1859
"295",3,0.4,0.8,1749
"296",3,0.4,0.9,1641
"297",3,0.4,1,1535
"298",3,0.5,0,2668
"299",3,0.5,0.1,2518
"300",3,0.5,0.2,2370
"301",3,0.5,0.3,2226
"302",3,0.5,0.4,2083
"303",3,0.5,0.5,1944
"304",3,0.5,0.6,1806
"305",3,0.5,0.7,1672
"306",3,0.5,0.8,1539
"307",3,0.5,0.9,1410
"308",3,0.5,1,1282
"309",3,0.6,0,2668
"310",3,0.6,0.1,2488
"311",3,0.6,0.2,2312
"312",3,0.6,0.3,2141
"313",3,0.6,0.4,1972
"314",3,0.6,0.5,1808
"315",3,0.6,0.6,1647
"316",3,0.6,0.7,1490
"317",3,0.6,0.8,1337
"318",3,0.6,0.9,1188
"319",3,0.6,1,1042
"320",3,0.7,0,2668
"321",3,0.7,0.1,2459
"322",3,0.7,0.2,2255
"323",3,0.7,0.3,2057
"324",3,0.7,0.4,1863
"325",3,0.7,0.5,1675
"326",3,0.7,0.6,1493
"327",3,0.7,0.7,1315
"328",3,0.7,0.8,1142
"329",3,0.7,0.9,975
"330",3,0.7,1,812
"331",3,0.8,0,2668
"332",3,0.8,0.1,2429
"333",3,0.8,0.2,2198
"334",3,0.8,0.3,1974
"335",3,0.8,0.4,1756
"336",3,0.8,0.5,1546
"337",3,0.8,0.6,1342
"338",3,0.8,0.7,1145
"339",3,0.8,0.8,955
"340",3,0.8,0.9,771
"341",3,0.8,1,594
"342",3,0.9,0,2668
"343",3,0.9,0.1,2400
"344",3,0.9,0.2,2142
"345",3,0.9,0.3,1892
"346",3,0.9,0.4,1651
"347",3,0.9,0.5,1419
"348",3,0.9,0.6,1196
"349",3,0.9,0.7,981
"350",3,0.9,0.8,775
"351",3,0.9,0.9,577
"352",3,0.9,1,387
"353",3,1,0,2668
"354",3,1,0.1,2371
"355",3,1,0.2,2086
"356",3,1,0.3,1811
"357",3,1,0.4,1548
"358",3,1,0.5,1295
"359",3,1,0.6,1054
"360",3,1,0.7,822
"361",3,1,0.8,602
"362",3,1,0.9,391
"363",3,1,1,191
"364",4,0,0,2668
"365",4,0,0.1,2668
"366",4,0,0.2,2668
"367",4,0,0.3,2668
"368",4,0,0.4,2668
"369",4,0,0.5,2668
"370",4,0,0.6,2668
"371",4,0,0.7,2668
"372",4,0,0.8,2668
"373",4,0,0.9,2668
"374",4,0,1,2668
"375",4,0.1,0,2668
"376",4,0.1,0.1,2637
"377",4,0.1,0.2,2606
"378",4,0.1,0.3,2576
"379",4,0.1,0.4,2545
"380",4,0.1,0.5,2514
"381",4,0.1,0.6,2484
"382",4,0.1,0.7,2453
"383",4,0.1,0.8,2423
"384",4,0.1,0.9,2392
"385",4,0.1,1,2362
"386",4,0.2,0,2668
"387",4,0.2,0.1,2606
"388",4,0.2,0.2,2546
"389",4,0.2,0.3,2485
"390",4,0.2,0.4,2425
"391",4,0.2,0.5,2365
"392",4,0.2,0.6,2306
"393",4,0.2,0.7,2247
"394",4,0.2,0.8,2188
"395",4,0.2,0.9,2129
"396",4,0.2,1,2071
"397",4,0.3,0,2668
"398",4,0.3,0.1,2576
"399",4,0.3,0.2,2485
"400",4,0.3,0.3,2396
"401",4,0.3,0.4,2307
"402",4,0.3,0.5,2220
"403",4,0.3,0.6,2133
"404",4,0.3,0.7,2047
"405",4,0.3,0.8,1962
"406",4,0.3,0.9,1879
"407",4,0.3,1,1796
"408",4,0.4,0,2668
"409",4,0.4,0.1,2546
"410",4,0.4,0.2,2426
"411",4,0.4,0.3,2308
"412",4,0.4,0.4,2192
"413",4,0.4,0.5,2078
"414",4,0.4,0.6,1965
"415",4,0.4,0.7,1855
"416",4,0.4,0.8,1746
"417",4,0.4,0.9,1640
"418",4,0.4,1,1535
"419",4,0.5,0,2668
"420",4,0.5,0.1,2516
"421",4,0.5,0.2,2367
"422",4,0.5,0.3,2221
"423",4,0.5,0.4,2079
"424",4,0.5,0.5,1939
"425",4,0.5,0.6,1803
"426",4,0.5,0.7,1670
"427",4,0.5,0.8,1539
"428",4,0.5,0.9,1412
"429",4,0.5,1,1288
"430",4,0.6,0,2668
"431",4,0.6,0.1,2486
"432",4,0.6,0.2,2309
"433",4,0.6,0.3,2136
"434",4,0.6,0.4,1968
"435",4,0.6,0.5,1805
"436",4,0.6,0.6,1646
"437",4,0.6,0.7,1491
"438",4,0.6,0.8,1341
"439",4,0.6,0.9,1196
"440",4,0.6,1,1055
"441",4,0.7,0,2668
"442",4,0.7,0.1,2456
"443",4,0.7,0.2,2251
"444",4,0.7,0.3,2052
"445",4,0.7,0.4,1860
"446",4,0.7,0.5,1674
"447",4,0.7,0.6,1494
"448",4,0.7,0.7,1320
"449",4,0.7,0.8,1152
"450",4,0.7,0.9,991
"451",4,0.7,1,836
"452",4,0.8,0,2668
"453",4,0.8,0.1,2426
"454",4,0.8,0.2,2194
"455",4,0.8,0.3,1970
"456",4,0.8,0.4,1754
"457",4,0.8,0.5,1546
"458",4,0.8,0.6,1347
"459",4,0.8,0.7,1155
"460",4,0.8,0.8,972
"461",4,0.8,0.9,797
"462",4,0.8,1,630
"463",4,0.9,0,2668
"464",4,0.9,0.1,2397
"465",4,0.9,0.2,2137
"466",4,0.9,0.3,1888
"467",4,0.9,0.4,1650
"468",4,0.9,0.5,1422
"469",4,0.9,0.6,1204
"470",4,0.9,0.7,997
"471",4,0.9,0.8,800
"472",4,0.9,0.9,614
"473",4,0.9,1,437
"474",4,1,0,2668
"475",4,1,0.1,2368
"476",4,1,0.2,2081
"477",4,1,0.3,1808
"478",4,1,0.4,1548
"479",4,1,0.5,1301
"480",4,1,0.6,1067
"481",4,1,0.7,846
"482",4,1,0.8,637
"483",4,1,0.9,440
"484",4,1,1,256
"485",5,0,0,2668
