"","year","vacc_coverage","vacc_efficacy","total_cases"
"1",1,0,0,74766
"2",1,0,0.1,74766
"3",1,0,0.2,74766
"4",1,0,0.3,74766
"5",1,0,0.4,74766
"6",1,0,0.5,74766
"7",1,0,0.6,74766
"8",1,0,0.7,74766
"9",1,0,0.8,74766
"10",1,0,0.9,74766
"11",1,0,1,74766
"12",1,0.1,0,74766
"13",1,0.1,0.1,74072
"14",1,0.1,0.2,73376
"15",1,0.1,0.3,72678
"16",1,0.1,0.4,71979
"17",1,0.1,0.5,71277
"18",1,0.1,0.6,70574
"19",1,0.1,0.7,69869
"20",1,0.1,0.8,69162
"21",1,0.1,0.9,68452
"22",1,0.1,1,67741
"23",1,0.2,0,74766
"24",1,0.2,0.1,73378
"25",1,0.2,0.2,71987
"26",1,0.2,0.3,70591
"27",1,0.2,0.4,69192
"28",1,0.2,0.5,67789
"29",1,0.2,0.6,66383
"30",1,0.2,0.7,64972
"31",1,0.2,0.8,63558
"32",1,0.2,0.9,62139
"33",1,0.2,1,60717
"34",1,0.3,0,74766
"35",1,0.3,0.1,72684
"36",1,0.3,0.2,70597
"37",1,0.3,0.3,68504
"38",1,0.3,0.4,66406
"39",1,0.3,0.5,64301
"40",1,0.3,0.6,62191
"41",1,0.3,0.7,60076
"42",1,0.3,0.8,57954
"43",1,0.3,0.9,55827
"44",1,0.3,1,53693
"45",1,0.4,0,74766
"46",1,0.4,0.1,71990
"47",1,0.4,0.2,69208
"48",1,0.4,0.3,66417
"49",1,0.4,0.4,63619
"50",1,0.4,0.5,60814
"51",1,0.4,0.6,58000
"52",1,0.4,0.7,55180
"53",1,0.4,0.8,52351
"54",1,0.4,0.9,49515
"55",1,0.4,1,46671
"56",1,0.5,0,74766
"57",1,0.5,0.1,71297
"58",1,0.5,0.2,67818
"59",1,0.5,0.3,64330
"60",1,0.5,0.4,60833
"61",1,0.5,0.5,57326
"62",1,0.5,0.6,53810
"63",1,0.5,0.7,50284
"64",1,0.5,0.8,46748
"65",1,0.5,0.9,43203
"66",1,0.5,1,39648
"67",1,0.6,0,74766
"68",1,0.6,0.1,70603
"69",1,0.6,0.2,66429
