"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"1",1,0.1,0.1,2625,2598
"2",2,0.1,0.1,5250,5194
"3",3,0.1,0.1,7875,7789
"4",4,0.1,0.1,10500,10384
"5",5,0.1,0.1,13125,12979
"6",1,0.1,0.2,2625,2571
"7",2,0.1,0.2,5250,5137
"8",3,0.1,0.2,7875,7702
"9",4,0.1,0.2,10500,10266
"10",5,0.1,0.2,13125,12831
"11",1,0.1,0.3,2625,2544
"12",2,0.1,0.3,5250,5081
"13",3,0.1,0.3,7875,7616
"14",4,0.1,0.3,10500,10150
"15",5,0.1,0.3,13125,12684
"16",1,0.1,0.4,2625,2517
"17",2,0.1,0.4,5250,5025
"18",3,0.1,0.4,7875,7529
"19",4,0.1,0.4,10500,10033
"20",5,0.1,0.4,13125,12537
"21",1,0.1,0.5,2625,2490
"22",2,0.1,0.5,5250,4968
"23",3,0.1,0.5,7875,7442
"24",4,0.1,0.5,10500,9915
"25",5,0.1,0.5,13125,12389
"26",1,0.1,0.6,2625,2463
"27",2,0.1,0.6,5250,4912
"28",3,0.1,0.6,7875,7356
"29",4,0.1,0.6,10500,9799
"30",5,0.1,0.6,13125,12243
"31",1,0.1,0.7,2625,2436
"32",2,0.1,0.7,5250,4856
"33",3,0.1,0.7,7875,7270
"34",4,0.1,0.7,10500,9683
"35",5,0.1,0.7,13125,12097
"36",1,0.1,0.8,2625,2409
"37",2,0.1,0.8,5250,4800
"38",3,0.1,0.8,7875,7184
"39",4,0.1,0.8,10500,9567
"40",5,0.1,0.8,13125,11951
"41",1,0.1,0.9,2625,2382
"42",2,0.1,0.9,5250,4743
"43",3,0.1,0.9,7875,7097
"44",4,0.1,0.9,10500,9449
"45",5,0.1,0.9,13125,11803
"46",1,0.1,1,2625,2355
"47",2,0.1,1,5250,4687
"48",3,0.1,1,7875,7011
"49",4,0.1,1,10500,9333
"50",5,0.1,1,13125,11657
"51",1,0.2,0.1,2625,2571
"52",2,0.2,0.1,5250,5137
"53",3,0.2,0.1,7875,7702
"54",4,0.2,0.1,10500,10266
"55",5,0.2,0.1,13125,12831
"56",1,0.2,0.2,2625,2517
"57",2,0.2,0.2,5250,5025
"58",3,0.2,0.2,7875,7530
"59",4,0.2,0.2,10500,10034
"60",5,0.2,0.2,13125,12539
"61",1,0.2,0.3,2625,2464
"62",2,0.2,0.3,5250,4914
"63",3,0.2,0.3,7875,7359
"64",4,0.2,0.3,10500,9803
"65",5,0.2,0.3,13125,12248
"66",1,0.2,0.4,2625,2410
"67",2,0.2,0.4,5250,4802
"68",3,0.2,0.4,7875,7188
"69",4,0.2,0.4,10500,9573
"70",5,0.2,0.4,13125,11959
"71",1,0.2,0.5,2625,2356
"72",2,0.2,0.5,5250,4690
"73",3,0.2,0.5,7875,7017
"74",4,0.2,0.5,10500,9342
"75",5,0.2,0.5,13125,11669
"76",1,0.2,0.6,2625,2303
"77",2,0.2,0.6,5250,4580
"78",3,0.2,0.6,7875,6848
"79",4,0.2,0.6,10500,9114
"80",5,0.2,0.6,13125,11383
"81",1,0.2,0.7,2625,2249
"82",2,0.2,0.7,5250,4469
"83",3,0.2,0.7,7875,6679
"84",4,0.2,0.7,10500,8887
"85",5,0.2,0.7,13125,11098
"86",1,0.2,0.8,2625,2196
"87",2,0.2,0.8,5250,4358
"88",3,0.2,0.8,7875,6510
"89",4,0.2,0.8,10500,8660
"90",5,0.2,0.8,13125,10813
"91",1,0.2,0.9,2625,2143
"92",2,0.2,0.9,5250,4249
"93",3,0.2,0.9,7875,6343
"94",4,0.2,0.9,10500,8435
"95",5,0.2,0.9,13125,10531
"96",1,0.2,1,2625,2090
"97",2,0.2,1,5250,4139
"98",3,0.2,1,7875,6175
"99",4,0.2,1,10500,8209
"100",5,0.2,1,13125,10248
"101",1,0.3,0.1,2625,2544
"102",2,0.3,0.1,5250,5081
"103",3,0.3,0.1,7875,7616
"104",4,0.3,0.1,10500,10150
"105",5,0.3,0.1,13125,12685
"106",1,0.3,0.2,2625,2464
"107",2,0.3,0.2,5250,4914
"108",3,0.3,0.2,7875,7360
