"","year","vacc_coverage","vacc_efficacy","total_cases"
"1",1,0,0,6495
"2",1,0,0.1,6495
"3",1,0,0.2,6495
"4",1,0,0.3,6495
"5",1,0,0.4,6495
"6",1,0,0.5,6495
"7",1,0,0.6,6495
"8",1,0,0.7,6495
"9",1,0,0.8,6495
"10",1,0,0.9,6495
"11",1,0,1,6495
"12",1,0.1,0,6495
"13",1,0.1,0.1,6431
"14",1,0.1,0.2,6366
"15",1,0.1,0.3,6301
"16",1,0.1,0.4,6236
"17",1,0.1,0.5,6171
"18",1,0.1,0.6,6106
"19",1,0.1,0.7,6041
"20",1,0.1,0.8,5976
"21",1,0.1,0.9,5911
"22",1,0.1,1,5846
"23",1,0.2,0,6495
"24",1,0.2,0.1,6366
"25",1,0.2,0.2,6237
"26",1,0.2,0.3,6107
"27",1,0.2,0.4,5978
"28",1,0.2,0.5,5849
"29",1,0.2,0.6,5720
"30",1,0.2,0.7,5591
"31",1,0.2,0.8,5461
"32",1,0.2,0.9,5332
"33",1,0.2,1,5203
"34",1,0.3,0,6495
"35",1,0.3,0.1,6301
"36",1,0.3,0.2,6108
"37",1,0.3,0.3,5914
"38",1,0.3,0.4,5721
"39",1,0.3,0.5,5528
"40",1,0.3,0.6,5336
"41",1,0.3,0.7,5143
"42",1,0.3,0.8,4951
"43",1,0.3,0.9,4759
"44",1,0.3,1,4567
"45",1,0.4,0,6495
"46",1,0.4,0.1,6237
"47",1,0.4,0.2,5979
"48",1,0.4,0.3,5722
"49",1,0.4,0.4,5466
"50",1,0.4,0.5,5210
"51",1,0.4,0.6,4954
"52",1,0.4,0.7,4699
"53",1,0.4,0.8,4445
"54",1,0.4,0.9,4191
"55",1,0.4,1,3938
"56",1,0.5,0,6495
"57",1,0.5,0.1,6173
"58",1,0.5,0.2,5851
"59",1,0.5,0.3,5530
"60",1,0.5,0.4,5211
"61",1,0.5,0.5,4892
"62",1,0.5,0.6,4575
"63",1,0.5,0.7,4259
"64",1,0.5,0.8,3943
"65",1,0.5,0.9,3629
"66",1,0.5,1,3316
"67",1,0.6,0,6495
"68",1,0.6,0.1,6108
"69",1,0.6,0.2,5723
"70",1,0.6,0.3,5339
"71",1,0.6,0.4,4957
"72",1,0.6,0.5,4577
"73",1,0.6,0.6,4198
"74",1,0.6,0.7,3821
"75",1,0.6,0.8,3446
"76",1,0.6,0.9,3073
"77",1,0.6,1,2701
"78",1,0.7,0,6495
"79",1,0.7,0.1,6044
"80",1,0.7,0.2,5595
"81",1,0.7,0.3,5149
"82",1,0.7,0.4,4705
"83",1,0.7,0.5,4263
"84",1,0.7,0.6,3824
"85",1,0.7,0.7,3388
"86",1,0.7,0.8,2954
"87",1,0.7,0.9,2522
"88",1,0.7,1,2093
"89",1,0.8,0,6495
"90",1,0.8,0.1,5980
"91",1,0.8,0.2,5468
"92",1,0.8,0.3,4959
"93",1,0.8,0.4,4453
"94",1,0.8,0.5,3951
"95",1,0.8,0.6,3452
"96",1,0.8,0.7,2957
"97",1,0.8,0.8,2465
"98",1,0.8,0.9,1977
"99",1,0.8,1,1492
"100",1,0.9,0,6495
"101",1,0.9,0.1,5916
"102",1,0.9,0.2,5340
"103",1,0.9,0.3,4769
"104",1,0.9,0.4,4203
"105",1,0.9,0.5,3641
"106",1,0.9,0.6,3083
"107",1,0.9,0.7,2530
"108",1,0.9,0.8,1982
"109",1,0.9,0.9,1438
"110",1,0.9,1,899
"111",1,1,0,6495
"112",1,1,0.1,5852
"113",1,1,0.2,5213
"114",1,1,0.3,4581
"115",1,1,0.4,3954
"116",1,1,0.5,3332
"117",1,1,0.6,2716
"118",1,1,0.7,2106
"119",1,1,0.8,1502
"120",1,1,0.9,904
"121",1,1,1,312
"122",2,0,0,6495
"123",2,0,0.1,6495
"124",2,0,0.2,6495
"125",2,0,0.3,6495
"126",2,0,0.4,6495
"127",2,0,0.5,6495
"128",2,0,0.6,6495
"129",2,0,0.7,6495
"130",2,0,0.8,6495
"131",2,0,0.9,6495
"132",2,0,1,6495
"133",2,0.1,0,6495
"134",2,0.1,0.1,6428
"135",2,0.1,0.2,6360
"136",2,0.1,0.3,6292
"137",2,0.1,0.4,6225
"138",2,0.1,0.5,6157
"139",2,0.1,0.6,6089
"140",2,0.1,0.7,6021
"141",2,0.1,0.8,5952
"142",2,0.1,0.9,5884
"143",2,0.1,1,5816
"144",2,0.2,0,6495
"145",2,0.2,0.1,6360
"146",2,0.2,0.2,6226
"147",2,0.2,0.3,6091
"148",2,0.2,0.4,5956
"149",2,0.2,0.5,5822
"150",2,0.2,0.6,5687
"151",2,0.2,0.7,5553
"152",2,0.2,0.8,5418
"153",2,0.2,0.9,5284
"154",2,0.2,1,5150
"155",2,0.3,0,6495
"156",2,0.3,0.1,6293
"157",2,0.3,0.2,6092
"158",2,0.3,0.3,5891
"159",2,0.3,0.4,5690
"160",2,0.3,0.5,5490
"161",2,0.3,0.6,5290
"162",2,0.3,0.7,5092
"163",2,0.3,0.8,4893
"164",2,0.3,0.9,4695
"165",2,0.3,1,4498
"166",2,0.4,0,6495
"167",2,0.4,0.1,6226
"168",2,0.4,0.2,5958
"169",2,0.4,0.3,5691
"170",2,0.4,0.4,5426
"171",2,0.4,0.5,5162
"172",2,0.4,0.6,4899
"173",2,0.4,0.7,4637
"174",2,0.4,0.8,4377
"175",2,0.4,0.9,4118
"176",2,0.4,1,3860
"177",2,0.5,0,6495
"178",2,0.5,0.1,6159
"179",2,0.5,0.2,5825
"180",2,0.5,0.3,5494
"181",2,0.5,0.4,5164
"182",2,0.5,0.5,4837
"183",2,0.5,0.6,4512
"184",2,0.5,0.7,4190
"185",2,0.5,0.8,3869
"186",2,0.5,0.9,3552
"187",2,0.5,1,3236
"188",2,0.6,0,6495
"189",2,0.6,0.1,6092
"190",2,0.6,0.2,5693
"191",2,0.6,0.3,5297
"192",2,0.6,0.4,4904
"193",2,0.6,0.5,4515
"194",2,0.6,0.6,4130
"195",2,0.6,0.7,3749
"196",2,0.6,0.8,3371
"197",2,0.6,0.9,2997
"198",2,0.6,1,2627
"199",2,0.7,0,6495
"200",2,0.7,0.1,6026
"201",2,0.7,0.2,5561
"202",2,0.7,0.3,5101
"203",2,0.7,0.4,4647
"204",2,0.7,0.5,4198
"205",2,0.7,0.6,3753
"206",2,0.7,0.7,3315
"207",2,0.7,0.8,2881
"208",2,0.7,0.9,2453
"209",2,0.7,1,2031
"210",2,0.8,0,6495
"211",2,0.8,0.1,5959
"212",2,0.8,0.2,5430
"213",2,0.8,0.3,4907
"214",2,0.8,0.4,4392
"215",2,0.8,0.5,3883
"216",2,0.8,0.6,3382
"217",2,0.8,0.7,2888
"218",2,0.8,0.8,2401
"219",2,0.8,0.9,1921
"220",2,0.8,1,1450
"221",2,0.9,0,6495
"222",2,0.9,0.1,5893
"223",2,0.9,0.2,5299
"224",2,0.9,0.3,4714
"225",2,0.9,0.4,4138
"226",2,0.9,0.5,3572
"227",2,0.9,0.6,3015
"228",2,0.9,0.7,2467
"229",2,0.9,0.8,1929
"230",2,0.9,0.9,1401
"231",2,0.9,1,883
"232",2,1,0,6495
"233",2,1,0.1,5826
"234",2,1,0.2,5169
"235",2,1,0.3,4522
"236",2,1,0.4,3888
"237",2,1,0.5,3264
"238",2,1,0.6,2653
"239",2,1,0.7,2054
"240",2,1,0.8,1467
"241",2,1,0.9,892
"242",2,1,1,330
"243",3,0,0,6495
"244",3,0,0.1,6495
"245",3,0,0.2,6495
"246",3,0,0.3,6495
"247",3,0,0.4,6495
"248",3,0,0.5,6495
"249",3,0,0.6,6495
"250",3,0,0.7,6495
"251",3,0,0.8,6495
"252",3,0,0.9,6495
"253",3,0,1,6495
"254",3,0.1,0,6495
"255",3,0.1,0.1,6428
"256",3,0.1,0.2,6361
"257",3,0.1,0.3,6293
"258",3,0.1,0.4,6226
"259",3,0.1,0.5,6158
"260",3,0.1,0.6,6090
"261",3,0.1,0.7,6023
"262",3,0.1,0.8,5955
