"","num_vacc_per_case","scenario"
"135",1121,"Scenario 6 (small hospital population size)"
"136",1121,"Scenario 6 (small hospital population size)"
"137",1121,"Scenario 6 (small hospital population size)"
"138",1121,"Scenario 6 (small hospital population size)"
"139",991,"Scenario 6 (small hospital population size)"
"140",991,"Scenario 6 (small hospital population size)"
"141",991,"Scenario 6 (small hospital population size)"
"142",991,"Scenario 6 (small hospital population size)"
"143",891,"Scenario 6 (small hospital population size)"
"144",891,"Scenario 6 (small hospital population size)"
"145",891,"Scenario 6 (small hospital population size)"
"146",891,"Scenario 6 (small hospital population size)"
"147",810,"Scenario 6 (small hospital population size)"
"148",810,"Scenario 6 (small hospital population size)"
"149",810,"Scenario 6 (small hospital population size)"
"150",810,"Scenario 6 (small hospital population size)"
"151",7391,"Scenario 6 (small hospital population size)"
"152",7391,"Scenario 6 (small hospital population size)"
"153",7391,"Scenario 6 (small hospital population size)"
"154",7391,"Scenario 6 (small hospital population size)"
"155",3740,"Scenario 6 (small hospital population size)"
"156",3740,"Scenario 6 (small hospital population size)"
"157",3740,"Scenario 6 (small hospital population size)"
"158",3740,"Scenario 6 (small hospital population size)"
"159",2523,"Scenario 6 (small hospital population size)"
"160",2523,"Scenario 6 (small hospital population size)"
"161",2523,"Scenario 6 (small hospital population size)"
"162",2523,"Scenario 6 (small hospital population size)"
"163",1916,"Scenario 6 (small hospital population size)"
"164",1916,"Scenario 6 (small hospital population size)"
"165",1916,"Scenario 6 (small hospital population size)"
"166",1916,"Scenario 6 (small hospital population size)"
"167",1552,"Scenario 6 (small hospital population size)"
"168",1552,"Scenario 6 (small hospital population size)"
"169",1552,"Scenario 6 (small hospital population size)"
"170",1552,"Scenario 6 (small hospital population size)"
"171",1309,"Scenario 6 (small hospital population size)"
"172",1309,"Scenario 6 (small hospital population size)"
"173",1309,"Scenario 6 (small hospital population size)"
"174",1309,"Scenario 6 (small hospital population size)"
"175",1137,"Scenario 6 (small hospital population size)"
"176",1137,"Scenario 6 (small hospital population size)"
"177",1137,"Scenario 6 (small hospital population size)"
"178",1137,"Scenario 6 (small hospital population size)"
"179",1008,"Scenario 6 (small hospital population size)"
"180",1008,"Scenario 6 (small hospital population size)"
"181",1008,"Scenario 6 (small hospital population size)"
"182",1008,"Scenario 6 (small hospital population size)"
"183",908,"Scenario 6 (small hospital population size)"
"184",908,"Scenario 6 (small hospital population size)"
"185",908,"Scenario 6 (small hospital population size)"
"186",908,"Scenario 6 (small hospital population size)"
"187",828,"Scenario 6 (small hospital population size)"
"188",828,"Scenario 6 (small hospital population size)"
"189",828,"Scenario 6 (small hospital population size)"
"190",828,"Scenario 6 (small hospital population size)"
"191",7406,"Scenario 6 (small hospital population size)"
"192",7406,"Scenario 6 (small hospital population size)"
"193",7406,"Scenario 6 (small hospital population size)"
"194",7406,"Scenario 6 (small hospital population size)"
"195",3755,"Scenario 6 (small hospital population size)"
"196",3755,"Scenario 6 (small hospital population size)"
"197",3755,"Scenario 6 (small hospital population size)"
"198",3755,"Scenario 6 (small hospital population size)"
"199",2539,"Scenario 6 (small hospital population size)"
"200",2539,"Scenario 6 (small hospital population size)"
"201",2539,"Scenario 6 (small hospital population size)"
"202",2539,"Scenario 6 (small hospital population size)"
"203",1931,"Scenario 6 (small hospital population size)"
"204",1931,"Scenario 6 (small hospital population size)"
"205",1931,"Scenario 6 (small hospital population size)"
"206",1931,"Scenario 6 (small hospital population size)"
"207",1568,"Scenario 6 (small hospital population size)"
"208",1568,"Scenario 6 (small hospital population size)"
"209",1568,"Scenario 6 (small hospital population size)"
"210",1568,"Scenario 6 (small hospital population size)"
"211",1326,"Scenario 6 (small hospital population size)"
"212",1326,"Scenario 6 (small hospital population size)"
"213",1326,"Scenario 6 (small hospital population size)"
"214",1326,"Scenario 6 (small hospital population size)"
"215",1154,"Scenario 6 (small hospital population size)"
"216",1154,"Scenario 6 (small hospital population size)"
"217",1154,"Scenario 6 (small hospital population size)"
"218",1154,"Scenario 6 (small hospital population size)"
"219",1025,"Scenario 6 (small hospital population size)"
"220",1025,"Scenario 6 (small hospital population size)"
"221",1025,"Scenario 6 (small hospital population size)"
"222",1025,"Scenario 6 (small hospital population size)"
"223",925,"Scenario 6 (small hospital population size)"
"224",925,"Scenario 6 (small hospital population size)"
"225",925,"Scenario 6 (small hospital population size)"
"226",925,"Scenario 6 (small hospital population size)"
