"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"1",1,0.1,0.1,6495,6431
"2",2,0.1,0.1,12990,12859
"3",3,0.1,0.1,19485,19287
"4",4,0.1,0.1,25980,25716
"5",5,0.1,0.1,32475,32147
"6",1,0.1,0.2,6495,6366
"7",2,0.1,0.2,12990,12726
"8",3,0.1,0.2,19485,19087
"9",4,0.1,0.2,25980,25450
"10",5,0.1,0.2,32475,31817
"11",1,0.1,0.3,6495,6301
"12",2,0.1,0.3,12990,12593
"13",3,0.1,0.3,19485,18886
"14",4,0.1,0.3,25980,25183
"15",5,0.1,0.3,32475,31486
"16",1,0.1,0.4,6495,6236
"17",2,0.1,0.4,12990,12461
"18",3,0.1,0.4,19485,18687
"19",4,0.1,0.4,25980,24918
"20",5,0.1,0.4,32475,31157
"21",1,0.1,0.5,6495,6171
"22",2,0.1,0.5,12990,12328
"23",3,0.1,0.5,19485,18486
"24",4,0.1,0.5,25980,24651
"25",5,0.1,0.5,32475,30826
"26",1,0.1,0.6,6495,6106
"27",2,0.1,0.6,12990,12195
"28",3,0.1,0.6,19485,18285
"29",4,0.1,0.6,25980,24384
"30",5,0.1,0.6,32475,30494
"31",1,0.1,0.7,6495,6041
"32",2,0.1,0.7,12990,12062
"33",3,0.1,0.7,19485,18085
"34",4,0.1,0.7,25980,24117
"35",5,0.1,0.7,32475,30163
"36",1,0.1,0.8,6495,5976
"37",2,0.1,0.8,12990,11928
"38",3,0.1,0.8,19485,17883
"39",4,0.1,0.8,25980,23848
"40",5,0.1,0.8,32475,29829
"41",1,0.1,0.9,6495,5911
"42",2,0.1,0.9,12990,11795
"43",3,0.1,0.9,19485,17682
"44",4,0.1,0.9,25980,23581
"45",5,0.1,0.9,32475,29497
"46",1,0.1,1,6495,5846
"47",2,0.1,1,12990,11662
"48",3,0.1,1,19485,17480
"49",4,0.1,1,25980,23312
"50",5,0.1,1,32475,29163
"51",1,0.2,0.1,6495,6366
"52",2,0.2,0.1,12990,12726
"53",3,0.2,0.1,19485,19087
"54",4,0.2,0.1,25980,25451
"55",5,0.2,0.1,32475,31819
"56",1,0.2,0.2,6495,6237
"57",2,0.2,0.2,12990,12463
"58",3,0.2,0.2,19485,18690
"59",4,0.2,0.2,25980,24922
"60",5,0.2,0.2,32475,31162
"61",1,0.2,0.3,6495,6107
"62",2,0.2,0.3,12990,12198
"63",3,0.2,0.3,19485,18291
"64",4,0.2,0.3,25980,24392
"65",5,0.2,0.3,32475,30505
"66",1,0.2,0.4,6495,5978
"67",2,0.2,0.4,12990,11934
"68",3,0.2,0.4,19485,17893
"69",4,0.2,0.4,25980,23863
"70",5,0.2,0.4,32475,29849
"71",1,0.2,0.5,6495,5849
"72",2,0.2,0.5,12990,11671
"73",3,0.2,0.5,19485,17496
"74",4,0.2,0.5,25980,23335
"75",5,0.2,0.5,32475,29194
"76",1,0.2,0.6,6495,5720
"77",2,0.2,0.6,12990,11407
"78",3,0.2,0.6,19485,17099
"79",4,0.2,0.6,25980,22808
"80",5,0.2,0.6,32475,28540
"81",1,0.2,0.7,6495,5591
"82",2,0.2,0.7,12990,11144
"83",3,0.2,0.7,19485,16702
"84",4,0.2,0.7,25980,22280
"85",5,0.2,0.7,32475,27885
"86",1,0.2,0.8,6495,5461
"87",2,0.2,0.8,12990,10879
"88",3,0.2,0.8,19485,16304
"89",4,0.2,0.8,25980,21752
"90",5,0.2,0.8,32475,27231
"91",1,0.2,0.9,6495,5332
"92",2,0.2,0.9,12990,10616
"93",3,0.2,0.9,19485,15908
"94",4,0.2,0.9,25980,21226
"95",5,0.2,0.9,32475,26578
"96",1,0.2,1,6495,5203
"97",2,0.2,1,12990,10353
"98",3,0.2,1,19485,15512
"99",4,0.2,1,25980,20700
"100",5,0.2,1,32475,25926
"101",1,0.3,0.1,6495,6301
"102",2,0.3,0.1,12990,12594
"103",3,0.3,0.1,19485,18888
"104",4,0.3,0.1,25980,25186
"105",5,0.3,0.1,32475,31490
"106",1,0.3,0.2,6495,6108
"107",2,0.3,0.2,12990,12200
"108",3,0.3,0.2,19485,18294
"109",4,0.3,0.2,25980,24396
"110",5,0.3,0.2,32475,30510
"111",1,0.3,0.3,6495,5914
"112",2,0.3,0.3,12990,11805
"113",3,0.3,0.3,19485,17699
"114",4,0.3,0.3,25980,23606
"115",5,0.3,0.3,32475,29530
"116",1,0.3,0.4,6495,5721
"117",2,0.3,0.4,12990,11411
"118",3,0.3,0.4,19485,17106
"119",4,0.3,0.4,25980,22818
"120",5,0.3,0.4,32475,28553
"121",1,0.3,0.5,6495,5528
"122",2,0.3,0.5,12990,11018
"123",3,0.3,0.5,19485,16515
"124",4,0.3,0.5,25980,22033
"125",5,0.3,0.5,32475,27580
"126",1,0.3,0.6,6495,5336
"127",2,0.3,0.6,12990,10626
"128",3,0.3,0.6,19485,15925
"129",4,0.3,0.6,25980,21250
"130",5,0.3,0.6,32475,26610
"131",1,0.3,0.7,6495,5143
"132",2,0.3,0.7,12990,10235
"133",3,0.3,0.7,19485,15338
"134",4,0.3,0.7,25980,20471
"135",5,0.3,0.7,32475,25645
"136",1,0.3,0.8,6495,4951
"137",2,0.3,0.8,12990,9844
"138",3,0.3,0.8,19485,14751
"139",4,0.3,0.8,25980,19693
"140",5,0.3,0.8,32475,24682
"141",1,0.3,0.9,6495,4759
"142",2,0.3,0.9,12990,9454
"143",3,0.3,0.9,19485,14166
"144",4,0.3,0.9,25980,18918
"145",5,0.3,0.9,32475,23722
"146",1,0.3,1,6495,4567
"147",2,0.3,1,12990,9065
"148",3,0.3,1,19485,13582
"149",4,0.3,1,25980,18144
"150",5,0.3,1,32475,22764
"151",1,0.4,0.1,6495,6237
"152",2,0.4,0.1,12990,12463
"153",3,0.4,0.1,19485,18690
"154",4,0.4,0.1,25980,24923
"155",5,0.4,0.1,32475,31164
"156",1,0.4,0.2,6495,5979
"157",2,0.4,0.2,12990,11937
"158",3,0.4,0.2,19485,17898
"159",4,0.4,0.2,25980,23871
"160",5,0.4,0.2,32475,29859
"161",1,0.4,0.3,6495,5722
"162",2,0.4,0.3,12990,11413
"163",3,0.4,0.3,19485,17110
"164",4,0.4,0.3,25980,22824
"165",5,0.4,0.3,32475,28561
"166",1,0.4,0.4,6495,5466
"167",2,0.4,0.4,12990,10892
"168",3,0.4,0.4,19485,16326
"169",4,0.4,0.4,25980,21783
"170",5,0.4,0.4,32475,27271
"171",1,0.4,0.5,6495,5210
"172",2,0.4,0.5,12990,10372
"173",3,0.4,0.5,19485,15545
"174",4,0.4,0.5,25980,20747
"175",5,0.4,0.5,32475,25988
"176",1,0.4,0.6,6495,4954
"177",2,0.4,0.6,12990,9853
"178",3,0.4,0.6,19485,14766
"179",4,0.4,0.6,25980,19715
"180",5,0.4,0.6,32475,24710
"181",1,0.4,0.7,6495,4699
"182",2,0.4,0.7,12990,9336
"183",3,0.4,0.7,19485,13992
"184",4,0.4,0.7,25980,18690
"185",5,0.4,0.7,32475,23442
"186",1,0.4,0.8,6495,4445
"187",2,0.4,0.8,12990,8822
"188",3,0.4,0.8,19485,13222
"189",4,0.4,0.8,25980,17670
"190",5,0.4,0.8,32475,22181
"191",1,0.4,0.9,6495,4191
"192",2,0.4,0.9,12990,8309
"193",3,0.4,0.9,19485,12454
"194",4,0.4,0.9,25980,16655
"195",5,0.4,0.9,32475,20926
"196",1,0.4,1,6495,3938
"197",2,0.4,1,12990,7798
"198",3,0.4,1,19485,11691
"199",4,0.4,1,25980,15647
"200",5,0.4,1,32475,19681
"201",1,0.5,0.1,6495,6173
"202",2,0.5,0.1,12990,12332
"203",3,0.5,0.1,19485,18493
"204",4,0.5,0.1,25980,24661
"205",5,0.5,0.1,32475,30839
"206",1,0.5,0.2,6495,5851
"207",2,0.5,0.2,12990,11676
"208",3,0.5,0.2,19485,17506
"209",4,0.5,0.2,25980,23350
"210",5,0.5,0.2,32475,29213
"211",1,0.5,0.3,6495,5530
"212",2,0.5,0.3,12990,11024
"213",3,0.5,0.3,19485,16525
"214",4,0.5,0.3,25980,22048
"215",5,0.5,0.3,32475,27600
"216",1,0.5,0.4,6495,5211
"217",2,0.5,0.4,12990,10375
"218",3,0.5,0.4,19485,15551
"219",4,0.5,0.4,25980,20756
"220",5,0.5,0.4,32475,26000
"221",1,0.5,0.5,6495,4892
"222",2,0.5,0.5,12990,9729
"223",3,0.5,0.5,19485,14582
"224",4,0.5,0.5,25980,19472
"225",5,0.5,0.5,32475,24411
"226",1,0.5,0.6,6495,4575
"227",2,0.5,0.6,12990,9087
"228",3,0.5,0.6,19485,13620
"229",4,0.5,0.6,25980,18199
"230",5,0.5,0.6,32475,22837
"231",1,0.5,0.7,6495,4259
"232",2,0.5,0.7,12990,8449
"233",3,0.5,0.7,19485,12666
"234",4,0.5,0.7,25980,16937
"235",5,0.5,0.7,32475,21277
"236",1,0.5,0.8,6495,3943
"237",2,0.5,0.8,12990,7812
"238",3,0.5,0.8,19485,11715
"239",4,0.5,0.8,25980,15682
"240",5,0.5,0.8,32475,19727
"241",1,0.5,0.9,6495,3629
"242",2,0.5,0.9,12990,7181
"243",3,0.5,0.9,19485,10774
"244",4,0.5,0.9,25980,14440
"245",5,0.5,0.9,32475,18195
"246",1,0.5,1,6495,3316
"247",2,0.5,1,12990,6552
"248",3,0.5,1,19485,9838
"249",4,0.5,1,25980,13207
"250",5,0.5,1,32475,16675
"251",1,0.6,0.1,6495,6108
"252",2,0.6,0.1,12990,12200
"253",3,0.6,0.1,19485,18295
"254",4,0.6,0.1,25980,24398
"255",5,0.6,0.1,32475,30513
"256",1,0.6,0.2,6495,5723
"257",2,0.6,0.2,12990,11416
"258",3,0.6,0.2,19485,17115
"259",4,0.6,0.2,25980,22831
"260",5,0.6,0.2,32475,28570
"261",1,0.6,0.3,6495,5339
"262",2,0.6,0.3,12990,10636
"263",3,0.6,0.3,19485,15943
"264",4,0.6,0.3,25980,21276
"265",5,0.6,0.3,32475,26644
"266",1,0.6,0.4,6495,4957
"267",2,0.6,0.4,12990,9861
"268",3,0.6,0.4,19485,14781
"269",4,0.6,0.4,25980,19737
"270",5,0.6,0.4,32475,24739
"271",1,0.6,0.5,6495,4577
"272",2,0.6,0.5,12990,9092
"273",3,0.6,0.5,19485,13629
"274",4,0.6,0.5,25980,18212
"275",5,0.6,0.5,32475,22854
"276",1,0.6,0.6,6495,4198
"277",2,0.6,0.6,12990,8328
"278",3,0.6,0.6,19485,12488
"279",4,0.6,0.6,25980,16704
"280",5,0.6,0.6,32475,20990
"281",1,0.6,0.7,6495,3821
"282",2,0.6,0.7,12990,7570
"283",3,0.6,0.7,19485,11357
"284",4,0.6,0.7,25980,15211
"285",5,0.6,0.7,32475,19148
"286",1,0.6,0.8,6495,3446
"287",2,0.6,0.8,12990,6817
"288",3,0.6,0.8,19485,10236
"289",4,0.6,0.8,25980,13734
"290",5,0.6,0.8,32475,17326
"291",1,0.6,0.9,6495,3073
"292",2,0.6,0.9,12990,6070
"293",3,0.6,0.9,19485,9126
"294",4,0.6,0.9,25980,12273
"295",5,0.6,0.9,32475,15527
"296",1,0.6,1,6495,2701
"297",2,0.6,1,12990,5328
"298",3,0.6,1,19485,8026
"299",4,0.6,1,25980,10828
"300",5,0.6,1,32475,13749
"301",1,0.7,0.1,6495,6044
"302",2,0.7,0.1,12990,12070
"303",3,0.7,0.1,19485,18098
"304",4,0.7,0.1,25980,24136
"305",5,0.7,0.1,32475,30188
"306",1,0.7,0.2,6495,5595
"307",2,0.7,0.2,12990,11156
"308",3,0.7,0.2,19485,16724
"309",4,0.7,0.2,25980,22312
"310",5,0.7,0.2,32475,27927
"311",1,0.7,0.3,6495,5149
"312",2,0.7,0.3,12990,10250
"313",3,0.7,0.3,19485,15364
"314",4,0.7,0.3,25980,20509
"315",5,0.7,0.3,32475,25695
"316",1,0.7,0.4,6495,4705
"317",2,0.7,0.4,12990,9352
"318",3,0.7,0.4,19485,14019
"319",4,0.7,0.4,25980,18728
"320",5,0.7,0.4,32475,23492
"321",1,0.7,0.5,6495,4263
"322",2,0.7,0.5,12990,8461
"323",3,0.7,0.5,19485,12687
"324",4,0.7,0.5,25980,16968
"325",5,0.7,0.5,32475,21317
"326",1,0.7,0.6,6495,3824
"327",2,0.7,0.6,12990,7577
"328",3,0.7,0.6,19485,11369
"329",4,0.7,0.6,25980,15229
"330",5,0.7,0.6,32475,19171
"331",1,0.7,0.7,6495,3388
"332",2,0.7,0.7,12990,6703
"333",3,0.7,0.7,19485,10068
"334",4,0.7,0.7,25980,13515
"335",5,0.7,0.7,32475,17058
"336",1,0.7,0.8,6495,2954
"337",2,0.7,0.8,12990,5835
"338",3,0.7,0.8,19485,8780
"339",4,0.7,0.8,25980,11821
"340",5,0.7,0.8,32475,14973
"341",1,0.7,0.9,6495,2522
"342",2,0.7,0.9,12990,4975
"343",3,0.7,0.9,19485,7507
"344",4,0.7,0.9,25980,10151
"345",5,0.7,0.9,32475,12920
"346",1,0.7,1,6495,2093
"347",2,0.7,1,12990,4124
"348",3,0.7,1,19485,6251
"349",4,0.7,1,25980,8505
"350",5,0.7,1,32475,10899
"351",1,0.8,0.1,6495,5980
"352",2,0.8,0.1,12990,11939
"353",3,0.8,0.1,19485,17901
"354",4,0.8,0.1,25980,23875
"355",5,0.8,0.1,32475,29864
"356",1,0.8,0.2,6495,5468
"357",2,0.8,0.2,12990,10898
"358",3,0.8,0.2,19485,16336
"359",4,0.8,0.2,25980,21798
"360",5,0.8,0.2,32475,27291
"361",1,0.8,0.3,6495,4959
"362",2,0.8,0.3,12990,9866
"363",3,0.8,0.3,19485,14789
"364",4,0.8,0.3,25980,19748
"365",5,0.8,0.3,32475,24754
"366",1,0.8,0.4,6495,4453
"367",2,0.8,0.4,12990,8845
"368",3,0.8,0.4,19485,13262
"369",4,0.8,0.4,25980,17728
"370",5,0.8,0.4,32475,22257
"371",1,0.8,0.5,6495,3951
"372",2,0.8,0.5,12990,7834
"373",3,0.8,0.5,19485,11753
"374",4,0.8,0.5,25980,15736
"375",5,0.8,0.5,32475,19798
"376",1,0.8,0.6,6495,3452
"377",2,0.8,0.6,12990,6834
"378",3,0.8,0.6,19485,10265
"379",4,0.8,0.6,25980,13776
"380",5,0.8,0.6,32475,17381
"381",1,0.8,0.7,6495,2957
"382",2,0.8,0.7,12990,5845
"383",3,0.8,0.7,19485,8797
"384",4,0.8,0.7,25980,11845
"385",5,0.8,0.7,32475,15004
"386",1,0.8,0.8,6495,2465
"387",2,0.8,0.8,12990,4866
"388",3,0.8,0.8,19485,7349
"389",4,0.8,0.8,25980,9946
"390",5,0.8,0.8,32475,12670
"391",1,0.8,0.9,6495,1977
"392",2,0.8,0.9,12990,3898
"393",3,0.8,0.9,19485,5922
"394",4,0.8,0.9,25980,8078
"395",5,0.8,0.9,32475,10378
"396",1,0.8,1,6495,1492
"397",2,0.8,1,12990,2942
"398",3,0.8,1,19485,4516
"399",4,0.8,1,25980,6242
"400",5,0.8,1,32475,8130
"401",1,0.9,0.1,6495,5916
"402",2,0.9,0.1,12990,11809
"403",3,0.9,0.1,19485,17706
"404",4,0.9,0.1,25980,23615
"405",5,0.9,0.1,32475,29542
"406",1,0.9,0.2,6495,5340
"407",2,0.9,0.2,12990,10639
"408",3,0.9,0.2,19485,15948
"409",4,0.9,0.2,25980,21284
"410",5,0.9,0.2,32475,26655
"411",1,0.9,0.3,6495,4769
"412",2,0.9,0.3,12990,9483
"413",3,0.9,0.3,19485,14216
"414",4,0.9,0.3,25980,18990
"415",5,0.9,0.3,32475,23817
"416",1,0.9,0.4,6495,4203
"417",2,0.9,0.4,12990,8341
"418",3,0.9,0.4,19485,12510
"419",4,0.9,0.4,25980,16736
"420",5,0.9,0.4,32475,21032
"421",1,0.9,0.5,6495,3641
"422",2,0.9,0.5,12990,7213
"423",3,0.9,0.5,19485,10830
"424",4,0.9,0.5,25980,14520
"425",5,0.9,0.5,32475,18299
"426",1,0.9,0.6,6495,3083
"427",2,0.9,0.6,12990,6098
"428",3,0.9,0.6,19485,9174
"429",4,0.9,0.6,25980,12342
"430",5,0.9,0.6,32475,15617
"431",1,0.9,0.7,6495,2530
"432",2,0.9,0.7,12990,4997
"433",3,0.9,0.7,19485,7545
"434",4,0.9,0.7,25980,10205
"435",5,0.9,0.7,32475,12990
"436",1,0.9,0.8,6495,1982
"437",2,0.9,0.8,12990,3911
"438",3,0.9,0.8,19485,5943
"439",4,0.9,0.8,25980,8108
"440",5,0.9,0.8,32475,10417
"441",1,0.9,0.9,6495,1438
"442",2,0.9,0.9,12990,2839
"443",3,0.9,0.9,19485,4368
"444",4,0.9,0.9,25980,6052
"445",5,0.9,0.9,32475,7900
"446",1,0.9,1,6495,899
"447",2,0.9,1,12990,1782
"448",3,0.9,1,19485,2821
"449",4,0.9,1,25980,4039
"450",5,0.9,1,32475,5441
"451",1,1,0.1,6495,5852
"452",2,1,0.1,12990,11678
"453",3,1,0.1,19485,17509
"454",4,1,0.1,25980,23354
"455",5,1,0.1,32475,29219
"456",1,1,0.2,6495,5213
"457",2,1,0.2,12990,10382
"458",3,1,0.2,19485,15563
"459",4,1,0.2,25980,20773
"460",5,1,0.2,32475,26022
"461",1,1,0.3,6495,4581
"462",2,1,0.3,12990,9103
"463",3,1,0.3,19485,13648
"464",4,1,0.3,25980,18240
"465",5,1,0.3,32475,22890
"466",1,1,0.4,6495,3954
"467",2,1,0.4,12990,7842
"468",3,1,0.4,19485,11766
"469",4,1,0.4,25980,15755
"470",5,1,0.4,32475,19822
"471",1,1,0.5,6495,3332
"472",2,1,0.5,12990,6596
"473",3,1,0.5,19485,9914
"474",4,1,0.5,25980,13316
"475",5,1,0.5,32475,16817
"476",1,1,0.6,6495,2716
"477",2,1,0.6,12990,5369
"478",3,1,0.6,19485,8097
"479",4,1,0.6,25980,10930
"480",5,1,0.6,32475,13882
"481",1,1,0.7,6495,2106
"482",2,1,0.7,12990,4160
"483",3,1,0.7,19485,6312
"484",4,1,0.7,25980,8592
"485",5,1,0.7,32475,11012
"486",1,1,0.8,6495,1502
"487",2,1,0.8,12990,2969
"488",3,1,0.8,19485,4562
"489",4,1,0.8,25980,6308
"490",5,1,0.8,32475,8215
"491",1,1,0.9,6495,904
"492",2,1,0.9,12990,1796
"493",3,1,0.9,19485,2845
"494",4,1,0.9,25980,4074
"495",5,1,0.9,32475,5486
"496",1,1,1,6495,312
"497",2,1,1,12990,642
"498",3,1,1,19485,1164
"499",4,1,1,25980,1894
"500",5,1,1,32475,2830
