"","year","vacc_coverage","vacc_efficacy","total_cases"
"183",2,0.5,0.6,1781
"184",2,0.5,0.7,1647
"185",2,0.5,0.8,1514
"186",2,0.5,0.9,1384
"187",2,0.5,1,1256
"188",2,0.6,0,2625
"189",2,0.6,0.1,2451
"190",2,0.6,0.2,2279
"191",2,0.6,0.3,2111
"192",2,0.6,0.4,1945
"193",2,0.6,0.5,1782
"194",2,0.6,0.6,1622
"195",2,0.6,0.7,1465
"196",2,0.6,0.8,1310
"197",2,0.6,0.9,1159
"198",2,0.6,1,1010
"199",2,0.7,0,2625
"200",2,0.7,0.1,2422
"201",2,0.7,0.2,2223
"202",2,0.7,0.3,2028
"203",2,0.7,0.4,1837
"204",2,0.7,0.5,1650
"205",2,0.7,0.6,1467
"206",2,0.7,0.7,1287
"207",2,0.7,0.8,1112
"208",2,0.7,0.9,941
"209",2,0.7,1,774
"210",2,0.8,0,2625
"211",2,0.8,0.1,2393
"212",2,0.8,0.2,2167
"213",2,0.8,0.3,1946
"214",2,0.8,0.4,1730
"215",2,0.8,0.5,1520
"216",2,0.8,0.6,1315
"217",2,0.8,0.7,1115
"218",2,0.8,0.8,920
"219",2,0.8,0.9,731
"220",2,0.8,1,547
"221",2,0.9,0,2625
"222",2,0.9,0.1,2365
"223",2,0.9,0.2,2112
"224",2,0.9,0.3,1865
"225",2,0.9,0.4,1625
"226",2,0.9,0.5,1392
"227",2,0.9,0.6,1166
"228",2,0.9,0.7,946
"229",2,0.9,0.8,734
"230",2,0.9,0.9,528
"231",2,0.9,1,328
"232",2,1,0,2625
"233",2,1,0.1,2336
"234",2,1,0.2,2056
"235",2,1,0.3,1785
"236",2,1,0.4,1522
"237",2,1,0.5,1267
"238",2,1,0.6,1020
"239",2,1,0.7,782
"240",2,1,0.8,553
"241",2,1,0.9,332
"242",2,1,1,119
"243",3,0,0,2625
"244",3,0,0.1,2625
"245",3,0,0.2,2625
"246",3,0,0.3,2625
"247",3,0,0.4,2625
"248",3,0,0.5,2625
"249",3,0,0.6,2625
"250",3,0,0.7,2625
"251",3,0,0.8,2625
"252",3,0,0.9,2625
"253",3,0,1,2625
"254",3,0.1,0,2625
"255",3,0.1,0.1,2595
"256",3,0.1,0.2,2565
"257",3,0.1,0.3,2535
"258",3,0.1,0.4,2504
"259",3,0.1,0.5,2474
"260",3,0.1,0.6,2444
"261",3,0.1,0.7,2414
"262",3,0.1,0.8,2384
"263",3,0.1,0.9,2354
"264",3,0.1,1,2324
"265",3,0.2,0,2625
"266",3,0.2,0.1,2565
"267",3,0.2,0.2,2505
"268",3,0.2,0.3,2445
"269",3,0.2,0.4,2386
"270",3,0.2,0.5,2327
"271",3,0.2,0.6,2268
"272",3,0.2,0.7,2210
"273",3,0.2,0.8,2152
"274",3,0.2,0.9,2094
"275",3,0.2,1,2036
"276",3,0.3,0,2625
"277",3,0.3,0.1,2535
"278",3,0.3,0.2,2446
"279",3,0.3,0.3,2357
"280",3,0.3,0.4,2270
"281",3,0.3,0.5,2183
"282",3,0.3,0.6,2097
"283",3,0.3,0.7,2012
"284",3,0.3,0.8,1927
"285",3,0.3,0.9,1844
"286",3,0.3,1,1761
"287",3,0.4,0,2625
"288",3,0.4,0.1,2505
"289",3,0.4,0.2,2387
"290",3,0.4,0.3,2270
"291",3,0.4,0.4,2155
"292",3,0.4,0.5,2042
"293",3,0.4,0.6,1930
"294",3,0.4,0.7,1820
"295",3,0.4,0.8,1711
"296",3,0.4,0.9,1604
