"","year","vacc_coverage","vacc_efficacy","total_cases"
"1",1,0,0,27839
"2",1,0,0.1,27839
"3",1,0,0.2,27839
"4",1,0,0.3,27839
"5",1,0,0.4,27839
"6",1,0,0.5,27839
"7",1,0,0.6,27839
"8",1,0,0.7,27839
"9",1,0,0.8,27839
"10",1,0,0.9,27839
"11",1,0,1,27839
"12",1,0.1,0,27839
"13",1,0.1,0.1,27575
"14",1,0.1,0.2,27310
"15",1,0.1,0.3,27046
"16",1,0.1,0.4,26780
"17",1,0.1,0.5,26514
"18",1,0.1,0.6,26248
"19",1,0.1,0.7,25980
"20",1,0.1,0.8,25713
"21",1,0.1,0.9,25445
"22",1,0.1,1,25176
"23",1,0.2,0,27839
"24",1,0.2,0.1,27311
"25",1,0.2,0.2,26782
"26",1,0.2,0.3,26253
"27",1,0.2,0.4,25722
"28",1,0.2,0.5,25190
"29",1,0.2,0.6,24657
"30",1,0.2,0.7,24123
"31",1,0.2,0.8,23587
"32",1,0.2,0.9,23051
"33",1,0.2,1,22514
"34",1,0.3,0,27839
"35",1,0.3,0.1,27047
"36",1,0.3,0.2,26254
"37",1,0.3,0.3,25460
"38",1,0.3,0.4,24663
"39",1,0.3,0.5,23866
"40",1,0.3,0.6,23066
"41",1,0.3,0.7,22265
"42",1,0.3,0.8,21462
"43",1,0.3,0.9,20658
"44",1,0.3,1,19852
"45",1,0.4,0,27839
"46",1,0.4,0.1,26783
"47",1,0.4,0.2,25726
"48",1,0.4,0.3,24667
"49",1,0.4,0.4,23605
"50",1,0.4,0.5,22541
"51",1,0.4,0.6,21476
"52",1,0.4,0.7,20408
"53",1,0.4,0.8,19338
"54",1,0.4,0.9,18266
"55",1,0.4,1,17192
"56",1,0.5,0,27839
"57",1,0.5,0.1,26520
"58",1,0.5,0.2,25198
"59",1,0.5,0.3,23874
"60",1,0.5,0.4,22547
"61",1,0.5,0.5,21218
"62",1,0.5,0.6,19886
"63",1,0.5,0.7,18551
"64",1,0.5,0.8,17214
"65",1,0.5,0.9,15874
"66",1,0.5,1,14532
"67",1,0.6,0,27839
"68",1,0.6,0.1,26256
"69",1,0.6,0.2,24670
"70",1,0.6,0.3,23081
"71",1,0.6,0.4,21489
"72",1,0.6,0.5,19894
"73",1,0.6,0.6,18296
"74",1,0.6,0.7,16695
"75",1,0.6,0.8,15091
"76",1,0.6,0.9,13484
"77",1,0.6,1,11874
"78",1,0.7,0,27839
"79",1,0.7,0.1,25992
"80",1,0.7,0.2,24142
"81",1,0.7,0.3,22288
"82",1,0.7,0.4,20431
"83",1,0.7,0.5,18571
"84",1,0.7,0.6,16707
"85",1,0.7,0.7,14839
"86",1,0.7,0.8,12968
"87",1,0.7,0.9,11094
"88",1,0.7,1,9217
"89",1,0.8,0,27839
"90",1,0.8,0.1,25728
"91",1,0.8,0.2,23614
"92",1,0.8,0.3,21496
"93",1,0.8,0.4,19373
"94",1,0.8,0.5,17247
"95",1,0.8,0.6,15117
"96",1,0.8,0.7,12984
"97",1,0.8,0.8,10846
"98",1,0.8,0.9,8705
"99",1,0.8,1,6561
"100",1,0.9,0,27839
"101",1,0.9,0.1,25465
"102",1,0.9,0.2,23086
"103",1,0.9,0.3,20703
"104",1,0.9,0.4,18316
"105",1,0.9,0.5,15924
"106",1,0.9,0.6,13529
"107",1,0.9,0.7,11129
"108",1,0.9,0.8,8725
"109",1,0.9,0.9,6318
"110",1,0.9,1,3906
"111",1,1,0,27839
"112",1,1,0.1,25201
"113",1,1,0.2,22558
"114",1,1,0.3,19911
"115",1,1,0.4,17258
"116",1,1,0.5,14602
"117",1,1,0.6,11941
"118",1,1,0.7,9275
"119",1,1,0.8,6605
"120",1,1,0.9,3931
"121",1,1,1,1253
"122",2,0,0,27839
"123",2,0,0.1,27839
"124",2,0,0.2,27839
"125",2,0,0.3,27839
"126",2,0,0.4,27839
"127",2,0,0.5,27839
"128",2,0,0.6,27839
"129",2,0,0.7,27839
"130",2,0,0.8,27839
"131",2,0,0.9,27839
"132",2,0,1,27839
"133",2,0.1,0,27839
"134",2,0.1,0.1,27580
"135",2,0.1,0.2,27321
"136",2,0.1,0.3,27060
"137",2,0.1,0.4,26799
"138",2,0.1,0.5,26537
"139",2,0.1,0.6,26273
"140",2,0.1,0.7,26009
"141",2,0.1,0.8,25744
"142",2,0.1,0.9,25477
"143",2,0.1,1,25210
"144",2,0.2,0,27839
"145",2,0.2,0.1,27322
"146",2,0.2,0.2,26803
"147",2,0.2,0.3,26282
"148",2,0.2,0.4,25760
"149",2,0.2,0.5,25235
"150",2,0.2,0.6,24708
"151",2,0.2,0.7,24180
"152",2,0.2,0.8,23649
"153",2,0.2,0.9,23117
"154",2,0.2,1,22583
"155",2,0.3,0,27839
"156",2,0.3,0.1,27063
"157",2,0.3,0.2,26285
"158",2,0.3,0.3,25504
"159",2,0.3,0.4,24720
"160",2,0.3,0.5,23934
"161",2,0.3,0.6,23144
"162",2,0.3,0.7,22352
"163",2,0.3,0.8,21556
"164",2,0.3,0.9,20758
"165",2,0.3,1,19957
"166",2,0.4,0,27839
"167",2,0.4,0.1,26805
"168",2,0.4,0.2,25767
"169",2,0.4,0.3,24726
"170",2,0.4,0.4,23681
"171",2,0.4,0.5,22633
"172",2,0.4,0.6,21580
"173",2,0.4,0.7,20524
"174",2,0.4,0.8,19464
"175",2,0.4,0.9,18400
"176",2,0.4,1,17332
"177",2,0.5,0,27839
"178",2,0.5,0.1,26547
"179",2,0.5,0.2,25250
"180",2,0.5,0.3,23948
"181",2,0.5,0.4,22642
"182",2,0.5,0.5,21332
"183",2,0.5,0.6,20017
"184",2,0.5,0.7,18697
"185",2,0.5,0.8,17372
"186",2,0.5,0.9,16043
"187",2,0.5,1,14710
"188",2,0.6,0,27839
"189",2,0.6,0.1,26288
"190",2,0.6,0.2,24732
