"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"147",2,0.3,1,55678,39809
"148",3,0.3,1,83517,60094
"149",4,0.3,1,111356,80730
"150",5,0.3,1,139195,101711
"151",1,0.4,0.1,27839,26783
"152",2,0.4,0.1,55678,53588
"153",3,0.4,0.1,83517,80440
"154",4,0.4,0.1,111356,107341
"155",5,0.4,0.1,139195,134289
"156",1,0.4,0.2,27839,25726
"157",2,0.4,0.2,55678,51493
"158",3,0.4,0.2,83517,77354
"159",4,0.4,0.2,111356,103312
"160",5,0.4,0.2,139195,129364
"161",1,0.4,0.3,27839,24667
"162",2,0.4,0.3,55678,49393
"163",3,0.4,0.3,83517,74259
"164",4,0.4,0.3,111356,99269
"165",5,0.4,0.3,139195,124420
"166",1,0.4,0.4,27839,23605
"167",2,0.4,0.4,55678,47286
"168",3,0.4,0.4,83517,71152
"169",4,0.4,0.4,111356,95210
"170",5,0.4,0.4,139195,119455
"171",1,0.4,0.5,27839,22541
"172",2,0.4,0.5,55678,45174
"173",3,0.4,0.5,83517,68035
"174",4,0.4,0.5,111356,91135
"175",5,0.4,0.5,139195,114469
"176",1,0.4,0.6,27839,21476
"177",2,0.4,0.6,55678,43056
"178",3,0.4,0.6,83517,64908
"179",4,0.4,0.6,111356,87046
"180",5,0.4,0.6,139195,109463
"181",1,0.4,0.7,27839,20408
"182",2,0.4,0.7,55678,40932
"183",3,0.4,0.7,83517,61771
"184",4,0.4,0.7,111356,82941
"185",5,0.4,0.7,139195,104436
"186",1,0.4,0.8,27839,19338
"187",2,0.4,0.8,55678,38802
"188",3,0.4,0.8,83517,58623
"189",4,0.4,0.8,111356,78821
"190",5,0.4,0.8,139195,99389
"191",1,0.4,0.9,27839,18266
"192",2,0.4,0.9,55678,36666
"193",3,0.4,0.9,83517,55464
"194",4,0.4,0.9,111356,74684
"195",5,0.4,0.9,139195,94320
"196",1,0.4,1,27839,17192
"197",2,0.4,1,55678,34524
"198",3,0.4,1,83517,52295
"199",4,0.4,1,111356,70533
"200",5,0.4,1,139195,89231
"201",1,0.5,0.1,27839,26520
"202",2,0.5,0.1,55678,53067
"203",3,0.5,0.1,83517,79672
"204",4,0.5,0.1,111356,106338
"205",5,0.5,0.1,139195,133063
"206",1,0.5,0.2,27839,25198
"207",2,0.5,0.2,55678,50448
"208",3,0.5,0.2,83517,75815
"209",4,0.5,0.2,111356,101303
"210",5,0.5,0.2,139195,126909
"211",1,0.5,0.3,27839,23874
"212",2,0.5,0.3,55678,47822
"213",3,0.5,0.3,83517,71945
"214",4,0.5,0.3,111356,96248
"215",5,0.5,0.3,139195,120728
"216",1,0.5,0.4,27839,22547
"217",2,0.5,0.4,55678,45189
"218",3,0.5,0.4,83517,68062
"219",4,0.5,0.4,111356,91175
"220",5,0.5,0.4,139195,114522
